name,sub_network,category,lock_family,jump_type,jump_desc,d,X,C_AB,R_obs,chosen_lock,prime_value,err_before,R_corr_eta,err_after_eta,R_corr_kappa,err_after_kappa
LaFeAsO0.9F0.1,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,11.2299,0.270962,4.43891,rational,4.5,0.0137623,4.4361,0.014405,4.4361,0.014405
LaFeAsO0.9F0.1,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,11.2299,0.270962,2.52987,rational,2.5,0.0118078,2.5288,0.0113902,2.5288,0.0113902
LaFeAsO0.9F0.1,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,11.2299,0.270962,8.21508,rational,8.16667,0.00589337,8.21335,0.00568337,8.21335,0.00568337
LaFeAsO0.9F0.1,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,11.5008,0.270962,1.36977,rational,1.4,0.0220696,1.36888,0.0227332,1.36888,0.0227332
LaFeAsO0.9F0.1,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,11.5008,0.270962,8.39618,rational,8.4,0.000454592,8.39255,0.000887552,8.39255,0.000887552
LaFeAsO0.9F0.1,electron-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,11.5008,0.270962,8.25809,rational,8.33333,0.00911095,8.25631,0.00932925,8.25631,0.00932925
LaFeAsO0.9F0.1,hole-band-vs-electron-band,SC_IronBased,rational,inter,gap(hole-band) / gap(electron-band),,,,3.24092,rational,3.2,0.0126262,3.24092,0.0126262,3.24092,0.0126262
LaFeAsO0.9F0.1,hole-band-vs-electron-band,SC_IronBased,rational,inter,Debye(hole-band) / Debye(electron-band),,,,0.976529,rational,1,0.0240353,0.976529,0.0240353,0.976529,0.0240353
LaH10,H1-optic-sigma,SC_HighPressure,integer,intra,thermal@Tc→gap(Δ),3,4.15271,1.88654,0.862974,integer,1,0.158783,0.862772,0.159055,0.862772,0.159055
LaH10,H1-optic-sigma,SC_HighPressure,integer,intra,gap(Δ)→Debye,2,4.15271,1.88654,4.81209,integer,5,0.0390499,4.81134,0.0392122,4.81134,0.0392122
LaH10,H1-optic-sigma,SC_HighPressure,integer,intra,Debye→electronic(E_F),1,4.15271,1.88654,72.459,integer,72,0.00633453,72.4533,0.00625692,72.4533,0.00625692
LaH10,H2-optic-pi,SC_HighPressure,mixed,intra,thermal@Tc→gap(Δ),3,6.03925,1.88654,1.58329,rational,1.6,0.0105509,1.58276,0.0108953,1.58276,0.0108953
LaH10,H2-optic-pi,SC_HighPressure,mixed,intra,gap(Δ)→Debye,2,6.03925,1.88654,3.81435,rational,3.85714,0.0112177,3.81349,0.0114474,3.81349,0.0114474
LaH10,H2-optic-pi,SC_HighPressure,mixed,intra,Debye→electronic(E_F),1,6.03925,1.88654,52.5813,rational,52.5,0.00154708,52.5754,0.00143367,52.5754,0.00143367
LaH10,La-acous-sigma,SC_HighPressure,integer,intra,thermal@Tc→gap(Δ),3,1.2753,1.88654,0.362724,integer,1,1.75691,0.362698,1.75711,0.362698,1.75711
LaH10,La-acous-sigma,SC_HighPressure,integer,intra,gap(Δ)→Debye,2,1.2753,1.88654,3.51589,integer,4,0.137692,3.51572,0.137747,3.51572,0.137747
LaH10,La-acous-sigma,SC_HighPressure,integer,intra,Debye→electronic(E_F),1,1.2753,1.88654,233.358,integer,240,0.0284621,233.353,0.0284867,233.353,0.0284867
LaH10,H1-optic-sigma-vs-H2-optic-pi,SC_HighPressure,rational,inter,gap(H1-optic-sigma) / gap(H2-optic-pi),,,,0.528143,rational,0.5,0.0532873,0.528143,0.0532873,0.528143,0.0532873
LaH10,H1-optic-sigma-vs-H2-optic-pi,SC_HighPressure,rational,inter,Debye(H1-optic-sigma) / Debye(H2-optic-pi),,,,0.666292,rational,0.666667,0.00056295,0.666292,0.00056295,0.666292,0.00056295
